lp,src,mt,ref,score,raw,annotators,domain
en-de,And she still doesn't really know.,Und sie weiß es noch nicht wirklich.,Und sie weiß es noch immer nicht wirklich.,1.4094995301843602,100.0,1,news
en-de,Byron MacDonald's analysis of 14-year-old Ai Yanhan's fourth place finish at the women's 4x200m freestyle relay outraged viewers of CBC's live Olympic coverage on Wednesday,"Byron MacDonalds Analyse von 14 -jähriger Ai Yanhan"" s vierter Platz am 4 x200m Freestyle Relay empörte Zuschauer der Live-Olympia-Berichterstattung von CBC am Mittwoch.",Byron MacDonalds Analyse über den vierten Platz der 14-jährigen Ai Yanhan bei dr 4x200m Freistilschwimmstaffel empörte Zuschauer der CBC-Liveübertragung der Olmypischen Spiele am Mittwoch,0.0655234422069162,65.0,1,news
en-de,A flood watch remains in effect until Saturday across most of south Louisiana.,Eine Hochwasserbeobachtung bleibt bis Samstag in den meisten Süden Louisianas in Kraft.,Ein Überschwemmungswarnsystem wird über weite Teile im Süden Louisianas bis Samstag eingesetzt.,0.253071201445601,76.0,1,news
en-de,Changing it up: This user reckons that Nathan is an 'athletic version' of the Inception actor,"Ändern Sie es: dieser Nutzer rechnet damit, dass Nathan eine ""sportliche Version"" des Inception Schauspielers ist","Einen Gang höher: Dieser User ist der Ansicht, dass Nathan die ""athletische Version"" des Inception Schauspielers ist",0.9897974667106021,100.0,1,news
en-de,"We can talk about the law with regard to traffic, or for witnesses appearing in court.","Wir können über das Gesetz im Hinblick auf den Verkehr sprechen oder für Zeugen, die vor Gericht auftauchen.",Reden könne man über Regeln etwa im Straßenverkehr oder für Zeugen vor Gericht.,0.836727880579174,91.0,2,news
en-de,"Since the construction site was moved southwards on Monday, and the Aspegstraße in Ofterdingen was reopened, and the link to Rottenburg was re-established, the traffic situation within the town has improved.","Da die Baustelle am Montag südwärts verlegt wurde und die Aspegstraße in Ofterdingen wieder geöffnet wurde und die Verbindung nach Rottenburg wiederhergestellt wurde, hat sich die Verkehrssituation innerhalb der Stadt verbessert.","Seit die Baustelle am Montag nach Süden gewandert ist und auch die Sperrung der Aspergstraße in Ofterdingen aufgehoben wurde und damit auch die Verbindung nach Rottenburg wieder besteht, hat sich die Verkehrslage innerhalb des Ortes entspannt.",1.2224672946665702,97.0,1,news
en-de,"For the first time in history, the CAS, not the IOC, is responsible for sanctioning sportspeople who test positive.","Zum ersten Mal in der Geschichte ist der CAS, nicht das IOC, dafür verantwortlich, Sportler zu sanktionieren, die positiv testen.","Erstmals in der Geschichte ist nicht mehr das IOC, sondern der CAS für die Sanktionierung der Sportler mit positiven Fällen zuständig.",0.7551672849236171,82.0,1,news
en-de,"Though trampoline has been an Olympic event since 2000, when it debuted at the Sydney Games, it has spent the intervening 16 years so barely acknowledged that many I surveyed did not realize it was an Olympic sport at all.","Obwohl Trampolin seit 2000 ein Olympia-Event ist, als es bei den Sydney Games debütierte, hat es die Eingriffe 16 Jahre so kaum anerkannt, dass viele, die ich befragt habe, nicht realisiert haben, es war ein olympischer Sport überhaupt.","Obwohl das Trampolinspringen bereits seit 2000 ein olympisches Ereignis ist, als es in Sydney sein Debüt hatte, wurde es die letzten 16 Jahre so spärlich wahrgenommen, dass viele die, ich befragt hatte, nicht wussten, dass es überhaupt eine Olympiasportart ist.",-0.5992017787135749,55.0,1,news
en-de,"After all, this meeting only happened because Mr Putin got the apology he demanded from President Erdogan.","Schließlich passierte dieses Treffen nur, weil Herr Putin die Entschuldigung bekam, die er von Präsident Erdogan verlangt hat.","Schließlich fand dieses Treffen nur deshalb statt, weil Putin vom Präsidenten Erdogan die Entschuldigung erhielt, die er hören wollte.",0.861287270198005,92.0,1,news
en-de,Police use tear gas & rubber bullets against protesting Brazilian students,Polizei setzt Tränengas & Gummigeschosse gegen protestierende brasilianische Studenten ein,Polizei setzt Tränengas & Gummigeschosse gegen protestierende brasilianische Studenten ein,1.37707956533788,100.0,1,news
